id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1736225100 ,8dd4dfba-2d32-3dd7-abde-19626c4192a0,   -5.216870 ,  -35.768600 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL DO GOSTOSO,Caatinga
 1736225107 ,f90d0128-f91b-336c-95c0-bd59c8a25296,   -6.153260 ,  -38.220810 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,PAU DOS FERROS,Caatinga
 1736225165 ,3aea4260-a6c8-3374-83da-8bda5705acfd,   -5.258730 ,  -36.929200 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga
 1736225179 ,bf9c146a-1bca-3d69-9fe0-5277daad9114,   -6.152320 ,  -38.470700 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736225213 ,ee4e9ddf-a530-3754-b0fb-d8687c16b74e,   -6.245330 ,  -38.533350 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736225265 ,14a620a5-f24b-3f6c-bf2d-d517698a800d,   -6.089320 ,  -38.415180 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga
 1736225293 ,380dd533-7c93-3eaa-b21d-83cfe6dd66c6,   -6.153280 ,  -35.463010 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,LAGOA SALGADA,Caatinga
 1736225332 ,e622dbb5-7b9a-357b-b207-f092331782bf,   -6.181970 ,  -38.413280 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736225334 ,8e1d26fa-b9fa-32c4-a94e-acb3b17a24d1,   -5.260920 ,  -37.370590 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga
 1736225349 ,a70a2813-3190-325d-88fd-c8b5b37c2b90,   -5.249090 ,  -36.930770 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga
 1736225398 ,6807be66-e7a7-308a-b51b-22b62e722e56,   -6.334590 ,  -38.578650 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,VENHA-VER,Caatinga
 1736225505 ,41b7483b-10e5-304c-bae0-cbd10a56672e,   -5.955450 ,  -36.319280 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,CERRO CORÁ,Caatinga
 1736225507 ,da370ff5-303e-3720-a9f0-eb7d7daedb10,   -6.323950 ,  -38.506490 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,VENHA-VER,Caatinga
 1736225532 ,367228b2-5751-3b7f-aedf-cad5292f8452,   -5.365040 ,  -36.961780 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,AÇU,Caatinga
 1736225577 ,b8b6d83b-3aa0-3dd9-b058-62ed1db185cb,   -6.140740 ,  -35.451600 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,LAGOA SALGADA,Caatinga
 1736225599 ,867aa0de-d2ae-34d2-92a5-44d4886db869,   -6.254220 ,  -38.531890 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736225666 ,acfd0b72-4d69-3937-b33c-0e79f01dc33d,   -6.144710 ,  -35.477370 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,LAGOA SALGADA,Caatinga
 1736464102 ,61f3b1eb-d869-3efd-b492-ee8aec7bce34,   -5.592070 ,  -35.885540 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga
 1736464153 ,42a63ebd-eba3-3c03-bc17-4a4f7f94d0fd,   -5.978670 ,  -38.051960 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga
 1736464192 ,a6251891-f265-39c2-b823-ed2b61d580fa,   -6.095940 ,  -38.296290 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,ENCANTO,Caatinga
 1736464203 ,61549400-2d54-381a-8699-7cd3a61bf978,   -5.991130 ,  -38.067340 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga
 1736464212 ,b959a8a0-7019-3e57-86c8-c89f0f78402f,   -6.207490 ,  -38.380370 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,CORONEL JOÃO PESSOA,Caatinga
 1736464219 ,976cde94-167d-36a6-9297-1e1d5cbf86a0,   -6.016270 ,  -37.169730 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,AUGUSTO SEVERO,Caatinga
 1736464232 ,4bd7bd34-b456-3bd0-8699-d81b716ad928,   -5.300470 ,  -35.650860 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga
 1736464258 ,09c22d72-2c5a-312e-be35-7e7cad74769f,   -5.428510 ,  -37.846020 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1736464286 ,cfe80cbf-56a5-32d7-a391-59635b14d60d,   -5.989520 ,  -38.055680 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga
 1736464308 ,ba46c916-7707-3244-97aa-eccdcc5faa1e,   -6.102800 ,  -38.418400 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga
 1736464346 ,adef99a2-3e23-380b-9279-31cca9fb3cce,   -6.483790 ,  -38.311120 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,PARANÁ,Caatinga
 1736464352 ,6badb74c-45a2-3143-9d2f-568cc73189b7,   -4.925910 ,  -37.550930 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga
 1736464359 ,fcd77f75-d7e9-32bb-a975-c140415a893b,   -5.979460 ,  -38.057320 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga
 1736464426 ,f2e6c352-99e4-382f-b276-30f6686a275f,   -5.301770 ,  -35.659820 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga
 1736464458 ,6f82eb8c-f673-3cb9-a1ca-0a5913cdc9ac,   -5.417100 ,  -37.836320 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1736464478 ,f36be9f9-3060-3594-816c-b6a7c98e02d9,   -6.304740 ,  -38.545030 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,VENHA-VER,Caatinga
 1736464481 ,d14534f6-3eb6-31b8-a5cd-2d1eb022271e,   -6.172950 ,  -37.759380 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,ALMINO AFONSO,Caatinga
 1736464491 ,43d9a902-bc5b-3545-89f8-a4162cbd2006,   -6.320570 ,  -38.581070 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,VENHA-VER,Caatinga
 1736464515 ,76a8ea15-a1fc-3109-9280-af03aece350e,   -6.209090 ,  -38.373890 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,CORONEL JOÃO PESSOA,Caatinga
 1736464537 ,5837446a-6e28-34b1-8f73-3956b66b2ff0,   -6.094220 ,  -38.284200 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,ENCANTO,Caatinga
 1736464550 ,51c71636-bd59-3210-aa6b-23404c3a1e87,   -6.174580 ,  -38.428720 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736464553 ,b7243dd0-901f-3b90-b2c8-49b976c92727,   -5.590770 ,  -35.876450 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,JOÃO CÂMARA,Caatinga
 1736464576 ,af1d0fd8-ee0f-39aa-bf97-6c38acac1aa0,   -5.303200 ,  -35.732980 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga
 1736464585 ,019ff600-4066-33ef-8521-eb53a20581fc,   -4.937020 ,  -37.560090 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga
 1736464617 ,fe1406f0-93a4-3523-a39b-12728d6bc0ee,   -6.482100 ,  -38.298740 ,2024-12-12 16:47:00,Brasil,RIO GRANDE DO NORTE,PARANÁ,Caatinga
